FOODID;FOODNAME;LANG
3016;Beetroot patty, fried;EN
3017;Rosolli salad, mixed beetroot salad, no dressing, no herring;EN
3021;Beetroot soup;EN
3022;Parsnip stew;EN
3023;Creamy jerusalem artichoke soup;EN
3024;Celeriac, mashed;EN
3025;Black salsify stew;EN
3026;Vegetable stew with potato, carrot, swede and cauliflower;EN
3027;Crepes filled with vegetables, low-fat milk;EN
3030;Asparagus with melted butter;EN
3034;Aubergine, fried;EN
3040;Sweet corn, boiled;EN
3200;Cabbage, fried;EN
3201;Cabbage soup, sautéed cabbage;EN
3202;Cabbage soup with potatoes;EN
3204;Sour cabbage/sauerkraut;EN
3206;Red cabbage stew;EN
3207;Creamy cauliflower soup, puréed;EN
3208;Cauliflower stew;EN
3209;Cauliflower gratin, low-fat milk;EN
3212;Broccoli stew;EN
3213;Creamy brussels sprout soup;EN
3214;Kohlrabi stew;EN
3215;Spinach soup;EN
3216;Spinach stew, low-fat milk;EN
