FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
33118;Juusto, salaattijuusto, rasvaa 6-8 %, lehmänmaito, suolaliemessä;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
33119;Juusto, salaattijuusto, rasvaa 9-11 %, lehmänmaito, suolaliemessä;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
33120;Juusto, salaattijuusto, rasvaa 22 %, lehmänmaito, öljyssä;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
33121;Hampunsiemen, kokonainen;FOOD;RAW;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
33122;Soijajuoma, alpro maustamaton, kalsiumia ja vitamiineja;FOOD;IND;100;SOYAPROD;LEGUTOT;VEGJUICE;VEGDITOT
33123;Broilerimureke, saarioinen, horeca;DISH;BAK;100;DISH;NONINGR;POULTDI;MEATDTOT
33124;Soijajuoma, rainbow, kalsiumia ja vitamiineja;FOOD;IND;100;SOYAPROD;LEGUTOT;VEGJUICE;VEGDITOT
33125;Soijajuoma, pirkka luomu maustamaton, kalsiumia;FOOD;IND;100;SOYAPROD;LEGUTOT;VEGJUICE;VEGDITOT
33126;Jauheliha-punajuurivuoka, sika-nauta, hoerca, saarioinen;DISH;BOIL;100;DISH;NONINGR;MINCMED;MEATDTOT
33128;Pähkinä, chilipähkinä;FOOD;DRIE;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
33129;Jogurtti, lohkeava luonnonjogurtti, rasvaa 5,5 %, laktoositon;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
33130;Pähkinä, cashewpähkinä, suolattu;FOOD;ROAS;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
33131;Pähkinä, pistaasipähkinä, suolattu;FOOD;ROAS;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
33132;Soijajuoma, gogreen maustamaton, kalsiumia;FOOD;IND;100;SOYAPROD;LEGUTOT;VEGJUICE;VEGDITOT
33133;Soijajuoma, gogreen original, kalsiumia;FOOD;IND;100;SOYAPROD;LEGUTOT;VEGJUICE;VEGDITOT
33134;Soijajuoma, pirkka luomu suklaanmakuinen, kalsiumia;FOOD;IND;100;SOYAPROD;LEGUTOT;VEGJUICE;VEGDITOT
33135;Soijajuoma, rainbow luomu;FOOD;IND;100;SOYAPROD;LEGUTOT;VEGJUICE;VEGDITOT
33136;Soijajuoma, nordic, kalsiumia ja d-vitamiinia;FOOD;IND;100;SOYAPROD;LEGUTOT;VEGJUICE;VEGDITOT
33137;Soijajuoma, alpro kevyt suklaajuoma, kalsiumia ja vitamiineja;FOOD;IND;100;SOYAPROD;LEGUTOT;VEGJUICE;VEGDITOT
33138;Soijajuoma, alpro suklaa, kalsiumia ja vitamiineja;FOOD;IND;100;SOYAPROD;LEGUTOT;VEGJUICE;VEGDITOT
33139;Soijajuoma, soywell soya drink, lidl, kalsiumia ja vitamiineja;FOOD;IND;100;SOYAPROD;LEGUTOT;VEGJUICE;VEGDITOT
33140;Muro, riisi-vehnähiutale jogurtti, kellogg's all-bran yoghurty, vitaminoitu;DISH;ROAS;100;DISH;NONINGR;CERBRKF;CEBAKTOT
33141;(arc)jogurtti, kerrosjogurtti, valio, rasvaa 2 %, vl, d-vitamiinia 0,9 ug;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
33142;Jogurtti, maustettu, rasvaton, laktoositon, d-vit 1 ug;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
33143;Kasvis, friteerattu, uppopaistettu;DISH;FRIE;100;DISH;NONINGR;VEGPOT;VEGDITOT
33144;Hedelmä, friteerattu, uppopaistettu;DISH;FRIE;100;DISH;NONINGR;FRUBPAST;FRUDITOT
33145;Muro, vehnähiutale, kellogg's all-bran regular, vitaminoitu;DISH;ROAS;100;DISH;NONINGR;CERBRKF;CEBAKTOT
33147;Rahka, maustettu, danonino, rasvaa 2,9 %, d-vitamiinia 1,25 ug;FOOD;IND;100;SMILK;MILKTOT;MILKPUDD;MILKDTOT
33148;Muro, vehnälese paahdettu, kellogg's all-bran plus;DISH;ROAS;100;DISH;NONINGR;CERBRKF;CEBAKTOT
33149;Liha, friteerattu, keskiarvo;DISH;FRIE;100;DISH;NONINGR;POULTDI;MEATDTOT
33150;Jogurtti, maustettu, lohkeava, rasvaa 4,6 %, laktoositon;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
33151;Merisuola, jodioimaton;FOOD;IND;100;SALT;INGRTOT;SPICES;MISCTOT
33152;Muro, riisimuro, sokerihuurrettu, kellogg's frost rice krispies, vitaminoitu;DISH;ROAS;100;DISH;NONINGR;CERBRKF;CEBAKTOT
33154;Kala, tuoresuolattu;FOOD;SALT;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
33155;Muro, riisi-vehnähiutale, suklaa-mansikka, kellogg's special k, choco-strawberry;DISH;ROAS;100;DISH;NONINGR;CERBRKF;CEBAKTOT
33158;Välipalapatukka, suklaa-muropatukka, kellogg´s special k chocolate, täydennetty;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
33159;Välipalapatukka, muropatukka, kellogg´s rice krispies cereal & milk, täydennetty;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
33160;Kaurajuoma, elovena välipalajuoma aurinkoinen, 2,9 % rasvaa;FOOD;IND;100;OATBAR;CERTOT;VEGJUICE;VEGDITOT
33161;Kaurajuoma, elovena välipalajuoma metsämarja, 0,5% rasvaa;FOOD;IND;100;OATBAR;CERTOT;VEGJUICE;VEGDITOT
33162;Jogurtti, maustamaton, rasvaa 2,5 %;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
33163;Kaurajuoma, elovena välipalajuoma hedelmäinen, 0,5% rasvaa;FOOD;IND;100;OATBAR;CERTOT;VEGJUICE;VEGDITOT
33164;Maito, täysmaito, vl, ei lisätty d-vitamiinia;FOOD;IND;100;MILK;MILKTOT;MILKHF;MILKDTOT
33167;Kiisseli, mehukeitto, karviais-boysenmarjakeitto+kuitu, sokeriton, valio;DISH;IND;100;DISH;NONINGR;FRUBSOUP;FRUDITOT
33168;Juusto, polar 10 % rasvaa, valio;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
33169;Kaurajuoma, nalle vaniljakaurajuoma, lisätty kalsiumia ja d-vitamiinia;FOOD;IND;100;OATBAR;CERTOT;VEGJUICE;VEGDITOT
33170;Pangasius, haimonni, filee, tuontikala;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
33171;Hoki, hokikala, tuontikala;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
33173;Perunasose, kevytmaito, laktoositon;DISH;BOIL;100;DISH;NONINGR;POTACOOK;POTATOT
33174;Jauheliha, sika-nauta, kevyt, vähärasvainen, rasvaa 10 %;FOOD;RAW;100;BEEF;MEATTOT;MINCMED;MEATDTOT
33175;Jauheliha, kevyt, sika-nauta, paistettu;DISH;FRIE;100;DISH;NONINGR;MINCMED;MEATDTOT
33176;Perunasose, kevytmaito, vl;DISH;BOIL;100;DISH;NONINGR;POTACOOK;POTATOT
33178;Rasvaseos 60%;FOOD;IND;100;BUTTMIX;FATTOT;BRFBUTT;FATTOT
33179;Rahka, maitorahka, maustamaton, rasvaa 0,3 %, laktoositon;FOOD;IND;100;SMILK;MILKTOT;SMILK;MILKDTOT
33181;Kalapuikko, kuitupitoiset kalapuikot, findus, uunissa;DISH;BAK;100;DISH;NONINGR;FISHDOTH;FISHDTOT
33182;Juurekset, uunissa, uunijuurekset;DISH;BAK;100;DISH;NONINGR;VEGPOT;VEGDITOT
33183;Perunasose, vesi, ruoanvalmistusrasva;DISH;BOIL;100;DISH;NONINGR;POTACOOK;POTATOT
33185;Tomaatti-mozzarellapasta, atria, valmisateria;DISH;BAK;100;DISH;NONINGR;PASTAADD;CEBAKTOT
33189;Rahka, maustettu, rasvaa 7 %, makea, laktoositon;FOOD;IND;100;SMILK;MILKTOT;MILKPUDD;MILKDTOT
33190;(arc)rahka, maustettu, rasvaa 8,5 %, vl, valkosuklaa-lime, valio;FOOD;IND;100;SMILK;MILKTOT;MILKPUDD;MILKDTOT
33194;Lihapullat ja muusi, atria, valmisateria;DISH;BAK;100;DISH;NONINGR;MINCMED;MEATDTOT
33197;Jogurtti, maustettu, rasvaton, vl, d-vit 0,5 ug, osittain keinotek. makeutettu;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
33198;Jogurtti, maustettu, rasvaton, keinotekoisesti makeutettu;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
33200;Viili, maustettu, rasvaa 1 %, laktoositon;FOOD;IND;100;SMILK;MILKTOT;MILKCURL;MILKDTOT
33201;Viili, maustamaton, rasvaa 1 %, laktoositon;FOOD;IND;100;SMILK;MILKTOT;MILKCURL;MILKDTOT
33203;Kaalikääryle, atria;DISH;BAK;100;DISH;NONINGR;MINCMED;MEATDTOT
33204;Kaali, valkokaali, keitetty, suolaton;DISH;BOIL;100;DISH;NONINGR;VEGPOT;VEGDITOT
33205;Ohukainen, atria;DISH;FRIE;100;DISH;NONINGR;CERPR;CEBAKTOT
